epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8121,2.42568,2.40992,1.41801,0.43062,0.35059,0.37301,0.16887,1.98784,1.97827,1.30234,0.00047157,0.00047157,0.00047157
2,63.3717,2.19333,1.53095,1.28877,0.36442,0.37987,0.32259,0.13465,2.16481,1.98903,1.4143,0.000938519,0.000938519,0.000938519
3,94.9145,2.12141,1.44793,1.26001,0.43183,0.30201,0.30339,0.14592,2.11806,2.30853,1.32845,0.00139604,0.00139604,0.00139604
4,128.232,2.10034,1.44318,1.25312,0.39568,0.3629,0.35609,0.16497,2.03101,2.05396,1.27111,0.00138656,0.00138656,0.00138656
5,160.992,2.06826,1.3898,1.24213,0.50831,0.42584,0.4434,0.20444,1.91211,1.49107,1.24513,0.00137241,0.00137241,0.00137241
6,194.225,2.01984,1.33239,1.21996,0.39132,0.29211,0.30555,0.14759,2.30616,1.77539,1.37983,0.00135826,0.00135826,0.00135826
7,228.145,2.02612,1.33336,1.21174,0.46428,0.38018,0.38461,0.17428,2.00358,1.78791,1.25808,0.00134412,0.00134412,0.00134412
8,262.083,1.99754,1.3194,1.20851,0.4971,0.44099,0.41077,0.19723,1.92853,1.50629,1.23888,0.00132997,0.00132997,0.00132997
9,296.057,1.99394,1.29806,1.20023,0.44586,0.30162,0.29034,0.13857,2.4297,2.48373,1.45129,0.00131582,0.00131582,0.00131582
10,329.411,1.9714,1.27858,1.2013,0.48389,0.37496,0.38053,0.17434,2.18011,1.56454,1.31902,0.00130168,0.00130168,0.00130168
11,363.055,1.96889,1.26097,1.18517,0.46298,0.36384,0.39408,0.17649,2.02551,1.66335,1.31429,0.00128753,0.00128753,0.00128753
12,396.797,1.96399,1.24595,1.18242,0.5116,0.40141,0.41067,0.18759,2.09724,1.60214,1.30713,0.00127338,0.00127338,0.00127338
13,430.335,1.93687,1.22684,1.18002,0.48831,0.40836,0.42546,0.20325,1.93384,1.41521,1.22856,0.00125923,0.00125923,0.00125923
