epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7671,2.46372,2.48492,1.50212,0.29855,0.2502,0.2121,0.07786,2.84678,2.43597,1.66472,0.00047157,0.00047157,0.00047157
2,65.5239,2.204,1.61559,1.34914,0.30454,0.29152,0.25562,0.0985,2.62222,2.28869,1.54061,0.000938519,0.000938519,0.000938519
3,99.0871,2.1268,1.50918,1.32587,0.28559,0.30057,0.23201,0.09182,2.74189,2.73068,1.61335,0.00139604,0.00139604,0.00139604
4,133.408,2.10108,1.49328,1.31243,0.37067,0.41038,0.3498,0.13385,2.2974,2.1557,1.44039,0.00138656,0.00138656,0.00138656
5,167.389,2.0755,1.46384,1.30369,0.51668,0.40239,0.40545,0.14496,2.23544,2.17118,1.39871,0.00137241,0.00137241,0.00137241
6,201.732,2.02553,1.41006,1.28222,0.31673,0.27745,0.25245,0.11721,2.69856,2.66625,1.59304,0.00135826,0.00135826,0.00135826
7,236.318,2.03516,1.40195,1.27379,0.33451,0.32005,0.26805,0.10817,2.5717,2.64566,1.5049,0.00134412,0.00134412,0.00134412
8,271.047,2.00879,1.40259,1.27399,0.46905,0.37523,0.35188,0.13602,2.37285,2.1494,1.44566,0.00132997,0.00132997,0.00132997
9,305.961,2.00506,1.36372,1.26337,0.41303,0.3777,0.34066,0.14451,2.32193,1.90917,1.41172,0.00131582,0.00131582,0.00131582
10,340.426,1.97903,1.35203,1.26454,0.3884,0.29507,0.2789,0.12147,2.64838,2.08177,1.55416,0.00130168,0.00130168,0.00130168
