epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0929,2.4044,2.47373,1.44808,0.45757,0.32517,0.3903,0.18245,2.03703,2.07556,1.24276,0.000470981,0.000470981,0.000470981
2,94.1554,2.16756,1.52316,1.28985,0.50506,0.39309,0.42689,0.19133,2.26732,1.95795,1.30261,0.000937936,0.000937936,0.000937936
3,121.583,2.10438,1.44141,1.26645,0.57158,0.51551,0.49602,0.20583,2.23014,1.8188,1.3272,0.00139546,0.00139546,0.00139546
4,150.296,2.06951,1.40895,1.26941,0.58536,0.51685,0.50765,0.22644,2.29619,1.9254,1.32837,0.00138656,0.00138656,0.00138656
5,179.51,2.03315,1.34987,1.23433,0.61014,0.5867,0.5826,0.27052,2.06783,1.70578,1.22077,0.00137241,0.00137241,0.00137241
6,209.418,2.00505,1.31412,1.22513,0.61317,0.5474,0.51331,0.237,2.29104,1.61231,1.29287,0.00135826,0.00135826,0.00135826
7,239.556,2.00277,1.31993,1.22594,0.62573,0.56427,0.55574,0.2401,2.20354,1.6518,1.2693,0.00134412,0.00134412,0.00134412
8,269.318,1.98442,1.29527,1.21612,0.63178,0.59079,0.57319,0.24941,2.07018,1.78016,1.23684,0.00132997,0.00132997,0.00132997
9,299.255,1.96095,1.25997,1.20997,0.6139,0.61079,0.60579,0.26928,2.01031,1.34417,1.20512,0.00131582,0.00131582,0.00131582
10,329.67,1.96344,1.2661,1.20713,0.65155,0.63033,0.63174,0.28426,2.04659,1.74718,1.19798,0.00130168,0.00130168,0.00130168
