epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.646,2.04678,1.71746,1.14762,0.65315,0.5029,0.57103,0.26477,1.92006,1.40743,1.06243,0.000660969,0.000660969,0.000660969
2,75.8824,1.87099,1.13292,1.06769,0.72278,0.62538,0.70968,0.32863,1.81075,1.1612,1.0196,0.00126192,0.00126192,0.00126192
3,117.203,1.82216,1.08529,1.05329,0.76495,0.64305,0.74072,0.34004,1.83462,1.04182,1.02774,0.00179687,0.00179687,0.00179687
4,159.455,1.81349,1.06515,1.04657,0.76546,0.69087,0.76582,0.35409,1.80411,1.05317,1.01698,0.001703,0.001703,0.001703
5,201.47,1.78709,1.03863,1.04603,0.77187,0.69298,0.77911,0.3693,1.7893,0.98931,1.01264,0.001604,0.001604,0.001604
6,243.996,1.77568,1.01127,1.03831,0.79173,0.70934,0.79526,0.38132,1.7483,0.94548,1.0045,0.001505,0.001505,0.001505
7,285.836,1.75076,0.98722,1.03139,0.8079,0.7203,0.80725,0.39495,1.71936,0.91636,0.99806,0.001406,0.001406,0.001406
8,328.596,1.73427,0.96512,1.02771,0.79013,0.72033,0.80764,0.39575,1.72015,0.89728,0.99841,0.001307,0.001307,0.001307
9,370.981,1.73347,0.96442,1.025,0.78468,0.72153,0.80304,0.36847,1.80166,0.93571,1.00777,0.001208,0.001208,0.001208
10,413.473,1.71223,0.94931,1.02224,0.80552,0.73377,0.82104,0.40572,1.70496,0.91075,0.99651,0.001109,0.001109,0.001109
11,452.418,1.72423,0.96672,1.04055,0.79307,0.73059,0.80812,0.39687,1.68835,0.89639,0.99078,0.00101,0.00101,0.00101
12,491.562,1.69461,0.933,1.03154,0.81081,0.73873,0.8248,0.40795,1.68984,0.88611,0.99208,0.000911,0.000911,0.000911
13,530.644,1.69211,0.91498,1.0368,0.79694,0.73391,0.81399,0.3865,1.74026,0.93692,1.00185,0.000812,0.000812,0.000812
14,570.423,1.69035,0.90935,1.02963,0.81625,0.75975,0.83932,0.41421,1.69281,0.84559,0.9894,0.000713,0.000713,0.000713
15,609.821,1.67318,0.89244,1.03024,0.81332,0.73885,0.82736,0.39706,1.7295,0.85951,0.99571,0.000614,0.000614,0.000614
16,649.125,1.66342,0.87957,1.02167,0.81562,0.74455,0.83789,0.41746,1.68173,0.82364,0.98438,0.000515,0.000515,0.000515
17,688.759,1.6537,0.87491,1.02219,0.8304,0.75288,0.83895,0.42202,1.66191,0.82724,0.98263,0.000416,0.000416,0.000416
18,727.8,1.6376,0.85632,1.02266,0.82991,0.74953,0.84229,0.42477,1.66963,0.80993,0.98323,0.000317,0.000317,0.000317
19,766.912,1.64,0.84916,1.01662,0.8194,0.76285,0.84082,0.41747,1.68112,0.84588,0.98839,0.000218,0.000218,0.000218
20,805.792,1.62117,0.83526,1.01541,0.83981,0.76967,0.85474,0.42993,1.66241,0.79665,0.98033,0.000119,0.000119,0.000119
