epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6835,1.6717,0.89717,1.01026,0.82332,0.7351,0.82602,0.40572,1.70909,0.85772,0.99209,0.000660969,0.000660969,0.000660969
2,76.0944,1.70148,0.91276,1.01632,0.79791,0.6965,0.80155,0.39395,1.72564,0.89243,0.99489,0.00126192,0.00126192,0.00126192
3,117.86,1.70139,0.93134,1.01806,0.80585,0.72122,0.81437,0.39074,1.7475,0.90509,1.0016,0.00179687,0.00179687,0.00179687
