epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5666,2.53841,2.95939,1.71662,0.29448,0.07935,0.1067,0.04163,2.73605,2.97049,1.65981,0.00330097,0.00330097,0.00330097
2,65.4979,2.21267,1.81935,1.47569,0.18359,0.18326,0.15397,0.05852,3.09047,2.87867,1.89382,0.00662117,0.00662117,0.00662117
3,98.6248,2.15771,1.6809,1.41707,0.26273,0.22284,0.21603,0.10312,2.77302,2.94868,1.68699,0.00992817,0.00992817,0.00992817
4,133.632,2.13363,1.63036,1.39273,0.23624,0.25146,0.18189,0.07695,2.52301,3.70931,1.55319,0.0099406,0.0099406,0.0099406
5,168.537,2.08403,1.57059,1.37598,0.30024,0.27552,0.22519,0.0923,2.61243,3.45228,1.55172,0.0099208,0.0099208,0.0099208
6,203.767,2.07087,1.54138,1.35502,0.4132,0.33475,0.29271,0.11873,2.41698,2.6213,1.41886,0.009901,0.009901,0.009901
7,239.015,2.04115,1.49782,1.34146,0.32633,0.29712,0.24987,0.10773,2.68883,2.44514,1.59605,0.0098812,0.0098812,0.0098812
8,274.181,2.02044,1.48137,1.34086,0.27685,0.23005,0.19537,0.07356,2.84155,2.78185,1.70513,0.0098614,0.0098614,0.0098614
9,310.017,2.02762,1.47097,1.33529,0.27928,0.3,0.25666,0.12035,2.54973,2.24045,1.50905,0.0098416,0.0098416,0.0098416
10,346.225,1.99822,1.46621,1.32724,0.40649,0.39129,0.35225,0.14147,2.24448,1.79623,1.36302,0.0098218,0.0098218,0.0098218
11,382.216,2.00812,1.44827,1.323,0.36194,0.3105,0.28254,0.10321,2.56873,2.63971,1.55607,0.009802,0.009802,0.009802
12,418.77,2.00145,1.41999,1.31147,0.29788,0.26289,0.2369,0.09954,2.72974,2.81691,1.58824,0.0097822,0.0097822,0.0097822
13,455.085,2.00285,1.4131,1.30271,0.36315,0.30669,0.27236,0.11003,2.57278,2.1591,1.50409,0.0097624,0.0097624,0.0097624
14,491.067,1.9862,1.41735,1.30672,0.29821,0.26477,0.23598,0.09812,2.58658,2.1971,1.54753,0.0097426,0.0097426,0.0097426
15,527.123,1.98651,1.41674,1.30624,0.38126,0.3578,0.32179,0.1373,2.27256,2.17796,1.35448,0.0097228,0.0097228,0.0097228
16,563.251,1.96213,1.38937,1.30062,0.34421,0.30589,0.27823,0.11964,2.59182,2.0245,1.50657,0.009703,0.009703,0.009703
17,599.667,1.9751,1.37925,1.28951,0.47517,0.42167,0.37096,0.14075,2.3498,2.15891,1.39485,0.0096832,0.0096832,0.0096832
