epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05088,2.55984,2.33656,1.19119,0.34486,0.15486,0.13505,0.03013,3.47895,2.17873,1.4366,0.00058,0.00058,0.00058
2,58.1922,2.16939,1.4084,1.05278,0.46565,0.4747,0.42991,0.13202,2.50639,1.56693,1.08996,0.00117026,0.00117026,0.00117026
3,67.1104,2.08501,1.31246,1.02326,0.61147,0.39927,0.4765,0.18657,2.22357,1.71092,0.99754,0.00175063,0.00175063,0.00175063
4,76.3294,2.11737,1.28767,1.02747,0.54234,0.46763,0.45602,0.14133,2.50798,1.40271,1.07194,0.0019505,0.0019505,0.0019505
5,85.5918,2.06649,1.23287,1.01484,0.59953,0.52313,0.55313,0.20896,2.21895,1.44659,1.00056,0.001934,0.001934,0.001934
6,94.6202,1.98895,1.1926,1.00873,0.60505,0.53542,0.53226,0.16486,2.51281,1.49027,1.07325,0.0019175,0.0019175,0.0019175
7,103.804,1.98562,1.17416,1.00268,0.46787,0.46553,0.39993,0.15769,2.15724,1.59321,0.98377,0.001901,0.001901,0.001901
8,112.599,1.96732,1.15549,1.00174,0.66157,0.58621,0.63041,0.25917,2.02027,1.19957,0.95328,0.0018845,0.0018845,0.0018845
9,122.021,1.95825,1.12339,0.99327,0.6271,0.54077,0.58011,0.22934,2.14226,1.20931,0.98177,0.001868,0.001868,0.001868
10,131.49,1.94989,1.11248,0.99574,0.67352,0.60397,0.66782,0.28672,2.02968,1.16513,0.95964,0.0018515,0.0018515,0.0018515
11,141.028,1.93438,1.10417,0.98417,0.70501,0.61791,0.68074,0.2774,2.07532,1.0972,0.96481,0.001835,0.001835,0.001835
12,150.767,1.90744,1.07944,0.99069,0.69514,0.60206,0.65054,0.23099,2.28881,1.39689,1.01143,0.0018185,0.0018185,0.0018185
13,160.723,1.889,1.08848,0.9801,0.73179,0.62689,0.69952,0.29691,2.03491,1.09544,0.9602,0.001802,0.001802,0.001802
14,170.925,1.92012,1.08238,0.97019,0.71096,0.59538,0.6554,0.22873,2.28829,1.17728,1.00673,0.0017855,0.0017855,0.0017855
15,181.337,1.85428,1.04326,0.97222,0.73308,0.65397,0.72235,0.30272,2.01323,1.18209,0.95397,0.001769,0.001769,0.001769
16,191.363,1.86779,1.04485,0.97576,0.71138,0.60092,0.66497,0.25043,2.17476,1.17325,0.98169,0.0017525,0.0017525,0.0017525
17,201.518,1.8831,1.0422,0.98356,0.53595,0.55443,0.50957,0.19032,2.29727,1.52388,1.00178,0.001736,0.001736,0.001736
18,211.66,1.88452,1.06113,0.97734,0.73213,0.63109,0.70872,0.30914,1.9358,1.08108,0.94231,0.0017195,0.0017195,0.0017195
19,221.951,1.84983,1.05251,0.9772,0.73016,0.65001,0.70058,0.2607,2.22506,1.27277,0.9953,0.001703,0.001703,0.001703
20,232.001,1.84569,1.03941,0.97078,0.72925,0.63879,0.71282,0.29021,2.08801,1.08676,0.96959,0.0016865,0.0016865,0.0016865
21,242.045,1.83977,1.04323,0.96296,0.71996,0.60053,0.67858,0.28457,2.07765,1.11855,0.97241,0.00167,0.00167,0.00167
22,252.127,1.84529,1.01861,0.97096,0.73695,0.62574,0.69563,0.30661,1.9635,1.05196,0.94761,0.0016535,0.0016535,0.0016535
23,262.306,1.82959,1.01627,0.96527,0.71522,0.60522,0.67537,0.30245,1.99473,1.07132,0.95604,0.001637,0.001637,0.001637
24,272.331,1.82795,1.00199,0.98127,0.68295,0.53103,0.59105,0.19644,2.46069,1.18575,1.05457,0.0016205,0.0016205,0.0016205
25,282.471,1.81953,1.01288,0.9637,0.71215,0.59902,0.66696,0.26287,2.17749,1.16075,0.98777,0.001604,0.001604,0.001604
26,292.769,1.82239,0.99727,0.96509,0.73737,0.6519,0.73196,0.31845,1.94423,1.03188,0.93588,0.0015875,0.0015875,0.0015875
27,302.948,1.82517,0.98517,0.96552,0.7329,0.65546,0.70983,0.27004,2.17065,1.15261,0.97951,0.001571,0.001571,0.001571
28,313.08,1.82256,0.98711,0.96596,0.76366,0.62132,0.72092,0.3324,1.88672,1.0057,0.92873,0.0015545,0.0015545,0.0015545
29,323.149,1.81969,0.98798,0.96735,0.74714,0.65228,0.72332,0.3041,2.0437,1.00156,0.95874,0.001538,0.001538,0.001538
30,333.385,1.7885,0.97391,0.96255,0.74819,0.64445,0.70733,0.27469,2.15045,1.07019,0.97494,0.0015215,0.0015215,0.0015215
31,343.605,1.79426,0.96345,0.95511,0.74741,0.66389,0.73417,0.29425,2.09549,1.01895,0.96066,0.001505,0.001505,0.001505
