epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1819,2.46511,2.48245,1.51281,0.62102,0.25713,0.20705,0.09415,2.37143,3.10014,1.42518,0.000471709,0.000471709,0.000471709
2,65.945,2.19116,1.58643,1.34597,0.26434,0.24765,0.21166,0.09569,2.732,2.40926,1.62291,0.000938656,0.000938656,0.000938656
3,99.4907,2.13929,1.52292,1.32716,0.29206,0.33071,0.27593,0.10774,2.42541,2.39259,1.49676,0.00139617,0.00139617,0.00139617
4,134.311,2.09828,1.48304,1.3076,0.35854,0.28563,0.26215,0.08496,2.65036,2.55142,1.60681,0.00138656,0.00138656,0.00138656
5,169.341,2.06356,1.44285,1.29988,0.43502,0.34343,0.31291,0.12655,2.38941,1.92297,1.43226,0.00137241,0.00137241,0.00137241
6,204.476,2.05226,1.42158,1.2868,0.43127,0.33169,0.3269,0.15623,2.3784,1.84129,1.39222,0.00135826,0.00135826,0.00135826
7,239.713,2.02498,1.37449,1.27376,0.35213,0.28684,0.25762,0.09761,2.61006,2.01913,1.56398,0.00134412,0.00134412,0.00134412
8,274.668,2.01008,1.37192,1.27602,0.39298,0.29533,0.29535,0.13446,2.45432,2.20938,1.47475,0.00132997,0.00132997,0.00132997
9,309.776,2.01288,1.36161,1.26662,0.41244,0.33967,0.32849,0.13187,2.47357,2.60698,1.47602,0.00131582,0.00131582,0.00131582
10,345.043,1.99668,1.36799,1.27049,0.47569,0.37407,0.39675,0.15594,2.30225,1.6261,1.39925,0.00130168,0.00130168,0.00130168
11,380.385,1.98039,1.3421,1.25412,0.40669,0.32228,0.30556,0.13524,2.52,2.06312,1.4786,0.00128753,0.00128753,0.00128753
12,416.028,1.97846,1.3222,1.24809,0.45604,0.37716,0.36903,0.15897,2.21698,2.17688,1.34989,0.00127338,0.00127338,0.00127338
13,451.636,1.98541,1.3217,1.24592,0.39313,0.3157,0.29124,0.11965,2.54033,2.1159,1.49153,0.00125923,0.00125923,0.00125923
14,487.987,1.97023,1.31944,1.2466,0.40541,0.32762,0.2981,0.1288,2.44805,2.26134,1.41117,0.00124509,0.00124509,0.00124509
15,524.1,1.96041,1.31717,1.24633,0.50943,0.42065,0.40806,0.17641,2.10348,1.80315,1.28986,0.00123094,0.00123094,0.00123094
16,560.453,1.93297,1.28137,1.23634,0.47886,0.37642,0.36336,0.14893,2.34558,1.64201,1.39717,0.00121679,0.00121679,0.00121679
