epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5036,2.60644,1.89999,1.12051,0.53911,0.3696,0.36611,0.12829,2.56997,1.52853,0.96863,0.000660969,0.000660969,0.000660969
2,22.1933,2.31785,1.21467,0.98381,0.55901,0.47808,0.47786,0.17144,2.3963,1.23829,0.91779,0.00126192,0.00126192,0.00126192
3,32.8322,2.23296,1.16904,0.96728,0.67005,0.54626,0.58073,0.21547,2.27117,1.13038,0.90819,0.00179687,0.00179687,0.00179687
4,43.3805,2.20504,1.14748,0.9528,0.67347,0.55326,0.60257,0.23747,2.20552,1.11729,0.90095,0.001703,0.001703,0.001703
5,53.9366,2.12565,1.1125,0.9525,0.58795,0.49744,0.51789,0.18902,2.39927,1.30909,0.91874,0.001604,0.001604,0.001604
6,64.574,2.13213,1.11139,0.94894,0.6757,0.55393,0.60015,0.23272,2.2389,1.11833,0.90566,0.001505,0.001505,0.001505
7,75.5222,2.07347,1.07985,0.94142,0.6717,0.56873,0.62211,0.25235,2.1509,1.0846,0.8911,0.001406,0.001406,0.001406
8,86.7922,2.06643,1.05915,0.93722,0.68433,0.57908,0.63193,0.25203,2.14552,1.06805,0.89087,0.001307,0.001307,0.001307
9,98.0345,2.05374,1.06561,0.93449,0.67514,0.58065,0.6269,0.24402,2.17389,1.18994,0.88974,0.001208,0.001208,0.001208
10,109.647,2.03115,1.05488,0.93489,0.70712,0.57672,0.64605,0.27124,2.10396,1.02958,0.88917,0.001109,0.001109,0.001109
11,121.326,1.99198,1.04814,0.93578,0.71375,0.59455,0.65701,0.27178,2.10718,0.98259,0.8888,0.00101,0.00101,0.00101
12,132.66,1.95407,1.00811,0.92583,0.69942,0.58794,0.64517,0.26081,2.14141,0.99582,0.88834,0.000911,0.000911,0.000911
13,143.805,1.92891,0.98693,0.92793,0.69147,0.59887,0.65487,0.26819,2.1257,0.9798,0.8899,0.000812,0.000812,0.000812
14,155.03,1.92652,0.98375,0.92291,0.72266,0.62165,0.67802,0.28391,2.04729,0.98254,0.88115,0.000713,0.000713,0.000713
15,166.48,1.88808,0.95711,0.92006,0.72801,0.62325,0.6847,0.28642,2.04717,0.94369,0.87863,0.000614,0.000614,0.000614
16,178.053,1.8907,0.95537,0.91673,0.71847,0.6214,0.68361,0.28329,2.06962,0.94965,0.88155,0.000515,0.000515,0.000515
17,189.231,1.87471,0.95191,0.9175,0.74603,0.63243,0.69922,0.30199,1.98728,0.90888,0.87604,0.000416,0.000416,0.000416
18,200.522,1.83336,0.93202,0.91668,0.73977,0.62527,0.69325,0.30189,1.98529,0.91305,0.8757,0.000317,0.000317,0.000317
19,211.994,1.8459,0.92864,0.91316,0.7265,0.6274,0.69146,0.29449,2.02618,0.91973,0.87823,0.000218,0.000218,0.000218
20,223.525,1.81426,0.91579,0.91038,0.73763,0.6365,0.70195,0.29863,2.00349,0.90625,0.8753,0.000119,0.000119,0.000119
