epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6163,2.15597,2.15491,1.25781,0.40134,0.29121,0.31077,0.17272,2.21728,1.93215,1.2732,0.000471709,0.000471709,0.000471709
2,98.8875,2.02104,1.39372,1.19297,0.39033,0.33066,0.31824,0.16423,2.06621,1.79047,1.24216,0.000940221,0.000940221,0.000940221
3,128.491,1.98653,1.36579,1.18698,0.61859,0.32044,0.30616,0.18165,1.72776,2.47432,1.13034,0.00140087,0.00140087,0.00140087
4,159.748,1.9693,1.3006,1.18263,0.45462,0.43404,0.44625,0.23044,1.75836,1.58492,1.14581,0.00139363,0.00139363,0.00139363
5,191.595,1.90901,1.24796,1.15525,0.63549,0.53494,0.55702,0.27771,1.72302,1.26517,1.13883,0.00138184,0.00138184,0.00138184
6,223.568,1.90834,1.20822,1.15547,0.51499,0.41136,0.41493,0.21411,1.96812,1.47904,1.1895,0.00137005,0.00137005,0.00137005
7,255.747,1.89204,1.20368,1.15773,0.63472,0.53426,0.58021,0.31963,1.58742,1.06447,1.07535,0.00135826,0.00135826,0.00135826
8,288.259,1.86031,1.16072,1.14179,0.60731,0.48319,0.53565,0.28007,1.68519,1.21327,1.10627,0.00134648,0.00134648,0.00134648
9,320.652,1.85994,1.1393,1.13986,0.6416,0.54227,0.55463,0.28832,1.61223,1.22302,1.08109,0.00133469,0.00133469,0.00133469
10,353.58,1.827,1.10931,1.11885,0.67996,0.55352,0.60697,0.32154,1.59078,1.03027,1.07094,0.0013229,0.0013229,0.0013229
11,385.623,1.81869,1.09225,1.1256,0.58933,0.55245,0.55833,0.31295,1.53941,1.11374,1.0583,0.00131111,0.00131111,0.00131111
12,417.558,1.83053,1.09831,1.12695,0.58723,0.49065,0.53699,0.29361,1.63819,1.14956,1.07891,0.00129932,0.00129932,0.00129932
13,449.614,1.81058,1.07446,1.11642,0.63346,0.52204,0.56059,0.31116,1.55918,1.04309,1.06518,0.00128753,0.00128753,0.00128753
14,481.93,1.79684,1.05614,1.10776,0.65,0.53864,0.57214,0.29877,1.69957,1.04578,1.09567,0.00127574,0.00127574,0.00127574
15,514.179,1.77164,1.04212,1.10776,0.67229,0.57313,0.62004,0.33214,1.56083,1.0508,1.0532,0.00126395,0.00126395,0.00126395
16,546.81,1.78072,1.05591,1.10723,0.61407,0.53116,0.5651,0.30571,1.63744,1.03593,1.07406,0.00125216,0.00125216,0.00125216
17,579.308,1.77059,1.03011,1.10957,0.69857,0.54991,0.61112,0.33738,1.55012,1.03312,1.05424,0.00124037,0.00124037,0.00124037
18,611.591,1.77539,1.01698,1.10636,0.55665,0.46025,0.50761,0.29508,1.53855,1.19832,1.03502,0.00122858,0.00122858,0.00122858
19,643.873,1.76815,1.01975,1.10096,0.68504,0.58897,0.64201,0.35178,1.50895,1.00471,1.04333,0.00121679,0.00121679,0.00121679
20,676.093,1.75458,1.00739,1.09774,0.67486,0.5826,0.60779,0.31765,1.65725,0.94937,1.06646,0.001205,0.001205,0.001205
21,708.183,1.75553,0.99436,1.10308,0.5748,0.53096,0.54555,0.31153,1.5131,0.95768,1.04055,0.00119322,0.00119322,0.00119322
22,740.188,1.74256,0.98789,1.09693,0.67849,0.60873,0.64061,0.3644,1.48466,0.89514,1.02404,0.00118143,0.00118143,0.00118143
23,772.593,1.71883,0.97245,1.08515,0.62098,0.51878,0.55319,0.32038,1.48225,1.07011,1.0337,0.00116964,0.00116964,0.00116964
24,805.028,1.73623,0.98262,1.09669,0.68752,0.53787,0.58222,0.32926,1.53664,1.03774,1.02612,0.00115785,0.00115785,0.00115785
25,837.317,1.7241,0.96249,1.08579,0.78814,0.56033,0.65264,0.36118,1.51446,0.93957,1.02886,0.00114606,0.00114606,0.00114606
26,869.932,1.72663,0.96333,1.0915,0.59059,0.53398,0.54971,0.31531,1.5268,0.99934,1.0304,0.00113427,0.00113427,0.00113427
27,902.119,1.69722,0.94931,1.07755,0.62271,0.57409,0.5694,0.32959,1.48641,0.94679,1.01113,0.00112248,0.00112248,0.00112248
28,934.763,1.71896,0.96046,1.08045,0.69096,0.61064,0.65499,0.36834,1.44639,0.8929,1.0282,0.00111069,0.00111069,0.00111069
29,967.268,1.70256,0.95093,1.08056,0.59703,0.47255,0.53756,0.30489,1.61329,1.11527,1.0538,0.0010989,0.0010989,0.0010989
