epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3822,2.19605,2.25888,1.27433,0.50128,0.36569,0.37053,0.19959,2.00216,1.80517,1.1658,0.000471041,0.000471041,0.000471041
2,52.4231,2.00828,1.37135,1.19691,0.51262,0.40045,0.39979,0.21114,1.89571,1.73901,1.11428,0.000939558,0.000939558,0.000939558
3,79.1876,1.98769,1.31893,1.17834,0.48565,0.43267,0.41753,0.22402,1.87548,1.4581,1.14061,0.00140022,0.00140022,0.00140022
4,106.041,1.96032,1.28394,1.17272,0.51592,0.47002,0.47882,0.26289,1.61432,1.26553,1.07095,0.00139363,0.00139363,0.00139363
5,134.053,1.92265,1.242,1.15759,0.53423,0.44517,0.44613,0.23424,1.80075,1.55908,1.10806,0.00138184,0.00138184,0.00138184
6,161.632,1.89713,1.21016,1.15566,0.51653,0.45063,0.42183,0.22569,1.83408,1.39416,1.1247,0.00137005,0.00137005,0.00137005
7,189.644,1.89008,1.18566,1.14432,0.6418,0.54761,0.57943,0.30466,1.62326,1.30873,1.0631,0.00135826,0.00135826,0.00135826
8,217.81,1.88094,1.15048,1.14102,0.68216,0.44336,0.49444,0.26422,1.7437,1.36454,1.08735,0.00134648,0.00134648,0.00134648
9,246.105,1.86424,1.11594,1.12947,0.5677,0.47252,0.51575,0.28409,1.63269,1.18545,1.06473,0.00133469,0.00133469,0.00133469
10,274.196,1.81797,1.10494,1.12324,0.61857,0.49429,0.54114,0.29662,1.57874,1.10751,1.05389,0.0013229,0.0013229,0.0013229
11,302.372,1.83868,1.08409,1.12846,0.66385,0.52826,0.56163,0.30027,1.75252,1.15424,1.09181,0.00131111,0.00131111,0.00131111
12,330.802,1.83375,1.08546,1.12636,0.72107,0.5441,0.61335,0.32182,1.57871,1.0803,1.06588,0.00129932,0.00129932,0.00129932
13,359.353,1.8175,1.06056,1.1202,0.61545,0.48966,0.54367,0.29516,1.63385,1.12298,1.06203,0.00128753,0.00128753,0.00128753
14,387.76,1.78574,1.03823,1.11634,0.63042,0.56844,0.57591,0.31255,1.59106,0.96413,1.04442,0.00127574,0.00127574,0.00127574
15,416.1,1.78075,1.02807,1.10698,0.6519,0.57179,0.61135,0.3406,1.54011,0.91946,1.02149,0.00126395,0.00126395,0.00126395
16,444.601,1.79921,1.04458,1.11204,0.63403,0.48911,0.53161,0.29851,1.5371,1.03915,1.02667,0.00125216,0.00125216,0.00125216
17,473.291,1.75673,1.01619,1.10016,0.59633,0.49555,0.54686,0.2962,1.63866,1.23905,1.04827,0.00124037,0.00124037,0.00124037
18,502.043,1.7668,1.01406,1.1009,0.67889,0.58281,0.59726,0.32612,1.57632,1.24579,1.03123,0.00122858,0.00122858,0.00122858
19,530.559,1.7624,1.0138,1.10197,0.65534,0.62105,0.62442,0.31979,1.61522,0.93708,1.03704,0.00121679,0.00121679,0.00121679
20,559.011,1.75496,1.00342,1.09897,0.70817,0.62627,0.67055,0.37116,1.44873,0.8972,1.00401,0.001205,0.001205,0.001205
21,587.583,1.7435,0.98687,1.09866,0.58433,0.5502,0.52397,0.30317,1.57355,1.22708,1.02553,0.00119322,0.00119322,0.00119322
22,616.386,1.73776,0.98801,1.09679,0.71817,0.60071,0.66796,0.35682,1.50542,0.91461,1.02153,0.00118143,0.00118143,0.00118143
23,644.99,1.73275,0.97449,1.09409,0.69461,0.60989,0.65021,0.35471,1.49459,0.96877,1.01571,0.00116964,0.00116964,0.00116964
24,673.769,1.72915,0.96757,1.08927,0.71691,0.57341,0.64934,0.37306,1.45623,0.87828,1.00743,0.00115785,0.00115785,0.00115785
25,702.226,1.75599,0.97247,1.09873,0.63381,0.5282,0.54937,0.29263,1.65013,1.06586,1.06448,0.00114606,0.00114606,0.00114606
26,730.604,1.71689,0.96368,1.09052,0.77861,0.59795,0.67518,0.38025,1.47663,0.90236,1.00344,0.00113427,0.00113427,0.00113427
27,759.161,1.69618,0.95126,1.08428,0.57756,0.48253,0.53399,0.28793,1.7037,0.9927,1.04142,0.00112248,0.00112248,0.00112248
28,787.702,1.69973,0.94518,1.08244,0.72192,0.60291,0.65491,0.35259,1.5295,0.96846,1.00772,0.00111069,0.00111069,0.00111069
29,816.522,1.72027,0.95727,1.08813,0.69555,0.61733,0.65026,0.36797,1.44552,0.8798,0.99654,0.0010989,0.0010989,0.0010989
30,845.462,1.70461,0.93989,1.086,0.56893,0.53619,0.54266,0.30294,1.63735,1.07966,1.04046,0.00108711,0.00108711,0.00108711
31,873.804,1.68341,0.93472,1.07884,0.66269,0.55741,0.58924,0.31778,1.60549,1.00624,1.03883,0.00107532,0.00107532,0.00107532
32,902.17,1.70579,0.94084,1.08491,0.63056,0.52397,0.55973,0.32123,1.49738,0.90531,1.00782,0.00106353,0.00106353,0.00106353
33,930.306,1.72102,0.94442,1.08282,0.70232,0.58949,0.63294,0.35716,1.48845,0.93771,1.01285,0.00105174,0.00105174,0.00105174
34,958.575,1.67883,0.91237,1.07024,0.587,0.52429,0.55489,0.32677,1.46895,0.87659,1.00359,0.00103995,0.00103995,0.00103995
35,986.656,1.65972,0.91666,1.07356,0.76306,0.65301,0.72431,0.39157,1.51182,0.81477,1.00653,0.00102817,0.00102817,0.00102817
36,1014.98,1.67708,0.91964,1.07758,0.70636,0.60889,0.64471,0.36546,1.46012,0.87216,1.00292,0.00101638,0.00101638,0.00101638
37,1043.1,1.65921,0.90746,1.06435,0.69008,0.64431,0.66308,0.3712,1.47907,0.86559,0.99806,0.00100459,0.00100459,0.00100459
38,1071.34,1.65952,0.8973,1.0579,0.66159,0.60369,0.63959,0.36327,1.45373,0.79759,0.99115,0.000992798,0.000992798,0.000992798
